timestamp,consumer_number,meter_id,tariff_category,supply_phase,frequency_hz,region_code,dwelling_type,num_occupants,house_area_sqft,connected_load_kw,temperature_c,humidity_pct,voltage_v,current_a,power_factor,real_power_kw,consumption_interval_kwh,cumulative_energy_kwh
2026-08-01T00:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.993,IN_KL_ERN,Apartment,2,980,3.5,29.15,74.51,229.6,0.35,0.909,0.073,0.0183,1000.0183
2026-08-01T00:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.031,IN_KL_ERN,Apartment,2,980,3.5,29.3,70.73,233.27,0.302,0.92,0.065,0.0162,1000.0345
2026-08-01T00:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.954,IN_KL_ERN,Apartment,2,980,3.5,28.88,72.74,229.6,0.251,0.862,0.05,0.0124,1000.0469
2026-08-01T00:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.953,IN_KL_ERN,Apartment,2,980,3.5,29.44,69.65,223.91,0.367,0.89,0.073,0.0183,1000.0652
2026-08-01T01:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.994,IN_KL_ERN,Apartment,2,980,3.5,28.16,72.42,232.03,0.498,0.917,0.106,0.0265,1000.0916
2026-08-01T01:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.042,IN_KL_ERN,Apartment,2,980,3.5,28.13,71.81,229.22,0.346,0.939,0.075,0.0186,1000.1103
2026-08-01T01:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.014,IN_KL_ERN,Apartment,2,980,3.5,29.03,78.29,227.82,0.428,0.883,0.086,0.0215,1000.1318
2026-08-01T01:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.985,IN_KL_ERN,Apartment,2,980,3.5,28.72,78.19,227.97,0.359,0.895,0.073,0.0183,1000.1501
2026-08-01T02:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.987,IN_KL_ERN,Apartment,2,980,3.5,27.22,77.77,234.03,0.545,0.945,0.12,0.0301,1000.1802
2026-08-01T02:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.942,IN_KL_ERN,Apartment,2,980,3.5,27.67,74.96,230.36,0.225,0.925,0.048,0.012,1000.1922
2026-08-01T02:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.016,IN_KL_ERN,Apartment,2,980,3.5,28.44,77.76,220.69,0.358,0.923,0.073,0.0182,1000.2104
2026-08-01T02:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.003,IN_KL_ERN,Apartment,2,980,3.5,28.11,78.4,229.54,0.27,0.904,0.056,0.014,1000.2245
2026-08-01T03:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.029,IN_KL_ERN,Apartment,2,980,3.5,27.88,79.57,223.5,0.553,0.953,0.118,0.0294,1000.2539
2026-08-01T03:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.004,IN_KL_ERN,Apartment,2,980,3.5,27.09,78.89,231,0.278,0.901,0.058,0.0145,1000.2684
2026-08-01T03:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.954,IN_KL_ERN,Apartment,2,980,3.5,27.05,83.18,231.31,0.379,0.914,0.08,0.02,1000.2884
2026-08-01T03:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.993,IN_KL_ERN,Apartment,2,980,3.5,26.47,80.6,230.61,0.433,0.889,0.089,0.0222,1000.3106
2026-08-01T04:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.961,IN_KL_ERN,Apartment,2,980,3.5,26.68,83.93,231.78,0.473,0.874,0.096,0.024,1000.3346
2026-08-01T04:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.982,IN_KL_ERN,Apartment,2,980,3.5,26.35,80.61,228.15,0.442,0.931,0.094,0.0234,1000.358
2026-08-01T04:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.94,IN_KL_ERN,Apartment,2,980,3.5,26.59,84.42,233.65,0.324,0.879,0.066,0.0166,1000.3746
2026-08-01T04:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.019,IN_KL_ERN,Apartment,2,980,3.5,26.2,81.02,232.81,0.283,0.9,0.059,0.0148,1000.3894
2026-08-01T05:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.989,IN_KL_ERN,Apartment,2,980,3.5,26.15,86.62,231.2,0.214,0.925,0.046,0.0115,1000.4009
2026-08-01T05:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.046,IN_KL_ERN,Apartment,2,980,3.5,26.55,89.9,228.97,0.523,0.882,0.106,0.0264,1000.4273
2026-08-01T05:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.919,IN_KL_ERN,Apartment,2,980,3.5,26.54,84.95,230.62,1.333,0.91,0.28,0.0699,1000.4973
2026-08-01T05:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.037,IN_KL_ERN,Apartment,2,980,3.5,25.94,87.65,226.09,1.375,0.911,0.283,0.0708,1000.5681
2026-08-01T06:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.978,IN_KL_ERN,Apartment,2,980,3.5,25.75,82.54,231.1,1.6,0.872,0.322,0.0806,1000.6487
2026-08-01T06:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.984,IN_KL_ERN,Apartment,2,980,3.5,25.49,84.38,231.44,1.668,0.925,0.357,0.0893,1000.738
2026-08-01T06:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.992,IN_KL_ERN,Apartment,2,980,3.5,25.29,85.8,231.58,1.399,0.912,0.296,0.0739,1000.8119
2026-08-01T06:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.057,IN_KL_ERN,Apartment,2,980,3.5,26.19,89.07,232.56,1.545,0.926,0.333,0.0832,1000.895
2026-08-01T07:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.03,IN_KL_ERN,Apartment,2,980,3.5,25.65,85.29,227.5,1.536,0.905,0.316,0.0791,1000.9741
2026-08-01T07:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.977,IN_KL_ERN,Apartment,2,980,3.5,25.48,87.07,235.73,1.404,0.894,0.296,0.074,1001.0481
2026-08-01T07:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.008,IN_KL_ERN,Apartment,2,980,3.5,25.1,85.44,231.1,1.59,0.889,0.327,0.0817,1001.1297
2026-08-01T07:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.976,IN_KL_ERN,Apartment,2,980,3.5,25.61,87,226.86,1.653,0.892,0.334,0.0836,1001.2133
2026-08-01T08:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.997,IN_KL_ERN,Apartment,2,980,3.5,25.95,85.49,225.4,1.659,0.891,0.333,0.0833,1001.2967
2026-08-01T08:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50,IN_KL_ERN,Apartment,2,980,3.5,25.04,86.2,226.8,1.505,0.937,0.32,0.0799,1001.3766
2026-08-01T08:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.955,IN_KL_ERN,Apartment,2,980,3.5,26.15,86.04,229.66,0.388,0.928,0.083,0.0207,1001.3973
2026-08-01T08:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50,IN_KL_ERN,Apartment,2,980,3.5,24.96,90.87,228.39,0.345,0.889,0.07,0.0175,1001.4148
2026-08-01T09:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.048,IN_KL_ERN,Apartment,2,980,3.5,26.5,87.81,227.88,0.728,0.979,0.162,0.0406,1001.4554
2026-08-01T09:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.984,IN_KL_ERN,Apartment,2,980,3.5,25.69,85.89,233.62,0.667,0.871,0.136,0.0339,1001.4893
2026-08-01T09:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.011,IN_KL_ERN,Apartment,2,980,3.5,26.27,87.53,235.25,0.752,0.896,0.158,0.0396,1001.5289
2026-08-01T09:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.009,IN_KL_ERN,Apartment,2,980,3.5,26.13,84.81,230.9,0.798,0.921,0.17,0.0424,1001.5714
2026-08-01T10:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.013,IN_KL_ERN,Apartment,2,980,3.5,27.23,84.9,234.15,1.551,0.863,0.313,0.0783,1001.6497
2026-08-01T10:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.998,IN_KL_ERN,Apartment,2,980,3.5,25.92,87.16,226.67,0.833,0.861,0.163,0.0406,1001.6904
2026-08-01T10:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.015,IN_KL_ERN,Apartment,2,980,3.5,26.84,85.49,227.13,0.852,0.922,0.178,0.0446,1001.735
2026-08-01T10:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.989,IN_KL_ERN,Apartment,2,980,3.5,27.26,85.49,229.02,0.812,0.902,0.168,0.0419,1001.7769
2026-08-01T11:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.004,IN_KL_ERN,Apartment,2,980,3.5,27.1,81.46,231.2,0.702,0.924,0.15,0.0375,1001.8144
2026-08-01T11:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.944,IN_KL_ERN,Apartment,2,980,3.5,26.77,83.53,231.41,0.676,0.935,0.146,0.0366,1001.8509
2026-08-01T11:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.013,IN_KL_ERN,Apartment,2,980,3.5,26.91,76.07,229.64,1.615,0.91,0.338,0.0844,1001.9354
2026-08-01T11:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.003,IN_KL_ERN,Apartment,2,980,3.5,27.13,82.69,226.33,1.408,0.923,0.294,0.0735,1002.0089
2026-08-01T12:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.012,IN_KL_ERN,Apartment,2,980,3.5,27.99,80.52,235.44,1.482,0.939,0.328,0.0819,1002.0908
2026-08-01T12:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.996,IN_KL_ERN,Apartment,2,980,3.5,27.45,77.45,230.22,1.617,0.926,0.345,0.0862,1002.177
2026-08-01T12:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.998,IN_KL_ERN,Apartment,2,980,3.5,27.61,76.29,226.3,1.59,0.906,0.326,0.0815,1002.2584
2026-08-01T12:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.992,IN_KL_ERN,Apartment,2,980,3.5,27.6,78.59,233.7,1.473,0.904,0.311,0.0778,1002.3362
2026-08-01T13:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.996,IN_KL_ERN,Apartment,2,980,3.5,28.36,78.68,233.27,1.83,0.943,0.403,0.1006,1002.4369
2026-08-01T13:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.987,IN_KL_ERN,Apartment,2,980,3.5,29.09,77.12,226.97,1.908,0.863,0.374,0.0934,1002.5303
2026-08-01T13:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.073,IN_KL_ERN,Apartment,2,980,3.5,28.29,77.31,229.57,1.696,0.933,0.363,0.0908,1002.6211
2026-08-01T13:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.006,IN_KL_ERN,Apartment,2,980,3.5,28.46,79.6,227.3,1.859,0.962,0.406,0.1016,1002.7227
2026-08-01T14:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.013,IN_KL_ERN,Apartment,2,980,3.5,27.48,71.64,232.29,1.172,0.893,0.243,0.0608,1002.7835
2026-08-01T14:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.98,IN_KL_ERN,Apartment,2,980,3.5,29.46,71.7,229.32,1.05,0.898,0.216,0.054,1002.8375
2026-08-01T14:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.924,IN_KL_ERN,Apartment,2,980,3.5,29.63,73.3,223,1.296,0.902,0.261,0.0652,1002.9027
2026-08-01T14:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.951,IN_KL_ERN,Apartment,2,980,3.5,28.65,73.34,230.43,1.112,0.885,0.227,0.0567,1002.9594
2026-08-01T15:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.991,IN_KL_ERN,Apartment,2,980,3.5,29.55,68.93,231.22,1.148,0.924,0.245,0.0614,1003.0208
2026-08-01T15:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50,IN_KL_ERN,Apartment,2,980,3.5,30.24,70.01,230.77,1.129,0.886,0.231,0.0577,1003.0785
2026-08-01T15:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.911,IN_KL_ERN,Apartment,2,980,3.5,29.76,69.29,232.05,1.048,0.93,0.226,0.0566,1003.1351
2026-08-01T15:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.029,IN_KL_ERN,Apartment,2,980,3.5,30.62,68.61,228.94,1.036,0.91,0.216,0.0539,1003.189
2026-08-01T16:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.979,IN_KL_ERN,Apartment,2,980,3.5,30.94,71.31,229.85,1.044,0.914,0.219,0.0549,1003.2439
2026-08-01T16:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.108,IN_KL_ERN,Apartment,2,980,3.5,30.38,67.25,230.43,1.219,0.858,0.241,0.0603,1003.3041
2026-08-01T16:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.981,IN_KL_ERN,Apartment,2,980,3.5,30.28,66.15,231.26,0.795,0.917,0.169,0.0422,1003.3463
2026-08-01T16:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.993,IN_KL_ERN,Apartment,2,980,3.5,30.9,65.86,230.73,0.583,0.924,0.124,0.0311,1003.3774
2026-08-01T17:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.026,IN_KL_ERN,Apartment,2,980,3.5,30.33,67.39,233.84,2.153,0.933,0.47,0.1174,1003.4948
2026-08-01T17:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.97,IN_KL_ERN,Apartment,2,980,3.5,31.07,65.51,225.37,2.556,0.874,0.503,0.1259,1003.6207
2026-08-01T17:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.996,IN_KL_ERN,Apartment,2,980,3.5,31.83,69.63,230.6,2.404,0.891,0.494,0.1235,1003.7442
2026-08-01T17:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.009,IN_KL_ERN,Apartment,2,980,3.5,30.85,65.74,228.22,2.106,0.945,0.454,0.1135,1003.8577
2026-08-01T18:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.957,IN_KL_ERN,Apartment,2,980,3.5,29.99,62.61,231.87,6.545,0.91,1.381,0.3452,1004.2029
2026-08-01T18:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.051,IN_KL_ERN,Apartment,2,980,3.5,31.63,64.78,227.59,2.617,0.891,0.531,0.1327,1004.3356
2026-08-01T18:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.937,IN_KL_ERN,Apartment,2,980,3.5,30.65,65.75,230.25,2.489,0.923,0.529,0.1322,1004.4678
2026-08-01T18:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.95,IN_KL_ERN,Apartment,2,980,3.5,30.93,70.16,233.73,2.294,0.87,0.466,0.1165,1004.5844
2026-08-01T19:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.04,IN_KL_ERN,Apartment,2,980,3.5,31.25,65.63,228.2,1.977,0.934,0.422,0.1054,1004.6898
2026-08-01T19:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.998,IN_KL_ERN,Apartment,2,980,3.5,31.12,62.15,235.6,2.284,0.917,0.493,0.1233,1004.8131
2026-08-01T19:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.036,IN_KL_ERN,Apartment,2,980,3.5,30.56,63.91,231.1,1.973,0.938,0.428,0.1069,1004.9201
2026-08-01T19:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.052,IN_KL_ERN,Apartment,2,980,3.5,31.22,64.35,231.88,2.393,0.904,0.502,0.1255,1005.0456
2026-08-01T20:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.027,IN_KL_ERN,Apartment,2,980,3.5,31.08,59.81,229.81,2.387,0.92,0.504,0.1261,1005.1717
2026-08-01T20:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50,IN_KL_ERN,Apartment,2,980,3.5,30.45,66.39,234.06,2.166,0.874,0.443,0.1107,1005.2824
2026-08-01T20:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.018,IN_KL_ERN,Apartment,2,980,3.5,31.16,63.77,227.19,2.24,0.874,0.445,0.1112,1005.3936
2026-08-01T20:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.003,IN_KL_ERN,Apartment,2,980,3.5,31.08,62.35,231.23,2.011,0.906,0.421,0.1053,1005.4989
2026-08-01T21:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.981,IN_KL_ERN,Apartment,2,980,3.5,31.01,66.25,229.46,2.05,0.915,0.43,0.1076,1005.6064
2026-08-01T21:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.993,IN_KL_ERN,Apartment,2,980,3.5,30.07,66.4,228.53,2.118,0.889,0.431,0.1076,1005.7141
2026-08-01T21:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.015,IN_KL_ERN,Apartment,2,980,3.5,31.51,65.96,225.89,1.983,0.934,0.418,0.1046,1005.8187
2026-08-01T21:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.057,IN_KL_ERN,Apartment,2,980,3.5,30.59,67.03,232.94,2.341,0.93,0.507,0.1267,1005.9454
2026-08-01T22:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.961,IN_KL_ERN,Apartment,2,980,3.5,30.61,69.58,226.96,2.254,0.921,0.471,0.1178,1006.0632
2026-08-01T22:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.031,IN_KL_ERN,Apartment,2,980,3.5,30.84,68.27,230.44,2.162,0.94,0.468,0.1171,1006.1803
2026-08-01T22:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.927,IN_KL_ERN,Apartment,2,980,3.5,29.82,70.84,229.53,0.229,0.913,0.048,0.012,1006.1923
2026-08-01T22:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.989,IN_KL_ERN,Apartment,2,980,3.5,30.07,69.6,228.63,0.423,0.896,0.087,0.0216,1006.214
2026-08-01T23:00:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.987,IN_KL_ERN,Apartment,2,980,3.5,29.15,72.1,228.66,0.428,0.909,0.089,0.0222,1006.2362
2026-08-01T23:15:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.007,IN_KL_ERN,Apartment,2,980,3.5,29.48,67.74,229.89,0.389,0.919,0.082,0.0205,1006.2567
2026-08-01T23:30:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,50.018,IN_KL_ERN,Apartment,2,980,3.5,30.21,69.07,228.86,0.554,0.892,0.113,0.0283,1006.285
2026-08-01T23:45:00+05:30,KSEB-ERN-000001,SM-KL-001,LT-I Domestic,Single phase,49.998,IN_KL_ERN,Apartment,2,980,3.5,29.82,69.05,231.88,0.289,0.945,0.063,0.0158,1006.3009
